mu,sigma,gamma,LogLikelihood
2.2664083226159737,0.10081627277138715,-0.11108033400814485,-361.4896651201952
2.272259726201395,0.1050764730316301,-0.12006789696666467,-361.3021482357306
2.265264730767425,0.11203405450877746,0.0029072159073896264,-361.4217437614256
2.271273432014818,0.11024374159381131,-0.06374187316595117,-361.31108901240657
2.2609908126094473,0.09956159924422876,-0.07768631264138641,-361.76391248663646
2.2722275821839855,0.09794355336438246,-0.18629195391770428,-361.99149029091194
2.268544061297877,0.10268087516640169,-0.11146933778885193,-361.3389524569336
2.260562825641954,0.09425599648226812,-0.12358259021294009,-362.7804391205188
2.2853558637186375,0.10302948023317719,-0.2479929598597105,-362.4989713002604
2.277780016213897,0.10439940321207393,-0.17217195930750426,-361.62521487178776
2.256829264597138,0.10483018157096002,0.005796331378010769,-361.6593828435495
2.2880680766941524,0.11439069749869021,-0.16465170298352194,-362.74452775441733
2.2714909262732026,0.12074917668306859,0.03231601746464769,-362.2663842545966
2.279880296072261,0.1100273766871989,-0.137292801761878,-361.7274408177929
2.265297951562954,0.09908040830030113,-0.11807997520149748,-361.70428688419304
2.2633035824882413,0.09931100114737393,-0.09937758492568373,-361.7121439542455
2.2578804414335356,0.10140233491541269,-0.03484700893610119,-361.75558530790767
2.251459055135422,0.11372542089808824,0.13325787356931254,-362.5358011127185
2.279880296072261,0.1100273766871989,-0.137292801761878,-361.7274408177929
2.2578683530666517,0.1015058726191666,-0.033782742632660505,-361.74801059805066
2.2675786190885416,0.09745018590340097,-0.1522231736643138,-361.9574683995265
2.2902136700536007,0.10834622680847088,-0.23880939006501403,-362.9168465582919
2.2882348736344684,0.10713161998843676,-0.2336741522301796,-362.6534684016582
2.2495738939597367,0.1052871871072892,0.07034107278961525,-362.4124354748059
2.285199059717786,0.12151052101579106,-0.07447770267242129,-363.04879145763215
2.262369801976167,0.09564599688485789,-0.12574478885106208,-362.37704577307454
2.2902136700536007,0.10834622680847088,-0.23880939006501403,-362.9168465582919
2.2837814786456425,0.10018566327667976,-0.26132488825893685,-362.62644873941224
2.2561547229132772,0.1111038264617316,0.0698078674891891,-361.8582306170009
2.2526998270062775,0.10412955379930916,0.033609240215192696,-362.0646406217608
2.2830191447699995,0.09503177539698507,-0.3029318565879779,-363.60648297731996
2.2825371410316198,0.1085788766155959,-0.17286990619464337,-361.9450113944442
2.2559959770131877,0.11411852682891163,0.09915698642235311,-362.107137764598
2.2510610912679048,0.09885267651611886,-0.0018389888706961816,-362.67967096609675
2.2858142249864284,0.10147189041840961,-0.2662308425719995,-362.72483691534654
2.2769158726454837,0.1102320245186805,-0.11078811081468247,-361.52991459047286
2.2703010560675407,0.09533664340184546,-0.1944699191705943,-362.4572809247735
2.267765645885065,0.09676873736636878,-0.16008092658097628,-362.08745222369953
2.2672454924183034,0.09644023712309649,-0.15881742740385218,-362.14910547719563
2.2645863600349543,0.0973787829757781,-0.12799039081968822,-361.9805279944051
2.2594599472518526,0.1265691497770936,0.1862990990535588,-363.56697988349384
2.2752540452162675,0.10216736895205843,-0.17204530753477706,-361.60773686303344
2.269409821003758,0.10749885193487503,-0.07386734970100177,-361.21553495171514
2.2499165490511768,0.10177816913906002,0.034832999746126116,-362.5191627959117
2.2630892411334944,0.12407853340031673,0.13296561271580928,-362.9281669097008
2.276655937911192,0.12107113542424737,-0.007731286823178548,-362.4304301492621
