beta_0,beta_1,sigma,gamma,LogLikelihood
2.244765194830552,0.000677548482843537,0.10264866033167834,0.1807510744445542,-362.3503955375409
2.245098415355254,2.8365197115384376e-05,0.10152450515734895,0.17323285025001134,-363.32663120959114
2.2608787099217866,3.0183837805722834e-05,0.1010393326132579,0.14148783812322058,-361.7901553525485
2.267054319210989,-0.0004092353541071419,0.10246048270310741,0.08422782975507766,-362.2843592335821
2.251839219605263,0.0005666059668319566,0.0975676902721243,0.24254828013235924,-363.1912688105999
2.258923477751059,0.0005152406792656392,0.1046858548935099,0.023998547438027703,-361.91486992659054
2.2881170001196325,-0.00035393010332072385,0.11405528604233585,-0.22549078708962442,-361.8577416148363
2.2796152983029634,-8.077335293832919e-05,0.10859342645633291,-0.08942441161235223,-361.41937946275874
2.2695780745799747,0.0003120324021085246,0.10433653700539224,0.053066896566338506,-361.90305121504764
2.2435358388493563,0.00043452310579077135,0.1276880924908489,-0.3932539428750213,-363.9933053262133
2.2710699076981697,-0.0004767629520099539,0.10599862523766676,-0.078464527691958,-361.8676912484688
2.274955907016856,-3.069187448127001e-06,0.10026814244084968,0.012883224486922834,-361.5724967861932
2.270320365133415,-0.00015216246351900466,0.11220577356404021,-0.14877899497903516,-361.43812534890355
2.2650554643097487,-0.0002515984183345319,0.1218463324083524,-0.3370376738066713,-362.75065879015256
2.270411017943652,6.273082450670899e-05,0.10384808313520182,-0.07838210906490607,-361.32447123790416
2.284421156614819,-6.927531562874451e-05,0.09949098982006069,0.1486308853108919,-362.58368621494856
2.26704126784144,0.00017076198718271428,0.10940489828818306,-0.22402417779985337,-361.70190662419714
2.263207218385352,-0.0003658980514963677,0.11132426760364489,-0.28992706297120185,-362.53530337411325
2.259910366770978,0.00029575768774882025,0.11080954722098538,-0.3543273915837901,-362.3634081386752
2.2841059440216367,-0.0005747546677962878,0.10005880194905746,0.16159029626211832,-362.25215255033436
2.278900363739022,-0.000115907446177913,0.09838257877051332,0.08383333175652374,-361.91390283490216
2.271935265040764,-0.0005498809719047203,0.10408853212507053,-0.11505827864790542,-362.18273218556726
2.273772897615705,-0.0006292612948527442,0.10222389125300337,-0.07539602830327707,-362.45472501193785
2.2656490167332146,-0.00017814676113077973,0.11830732849748826,-0.35138432843106077,-362.386574565949
2.2736328470698655,-0.0006025158310498928,0.1036158875059146,-0.09276463129571541,-362.25018024688137
2.2670412652389693,-0.0002518857389955348,0.10042706257234457,-0.017040070146737207,-361.7658025632767
2.271387561024863,0.00025381489982999897,0.11283025793614469,-0.24986942696557807,-362.34708255308146
2.273581294587086,-9.400108385389911e-05,0.11663287940625246,-0.38222215817568705,-362.3458708920368
2.2785770865323385,-0.0003572113981425972,0.12642829145674087,-0.5482895281993412,-363.778462298062
2.270472964616749,0.0001435130463274632,0.10816359919671639,-0.19636138428249686,-361.6579290670936
2.2719000500546445,9.86687374302564e-05,0.10642833714501135,-0.05036739655086823,-361.37519901740336
2.2697010821158066,0.00022962464811608524,0.09888197361161298,0.25203565150625024,-363.04921919302706
2.264026567879281,0.0002393041008642002,0.1069408943300306,0.07077066052596777,-361.43189612030693
2.2694070380977855,-0.0004363141048363851,0.11929737672763971,-0.40334698713189715,-362.8347667925596
