id,90% Credible Intervals_x,90% Credible Intervals_y,90% Credible Intervals_x2,90% Credible Intervals_y2,Posterior Predictive_x,Posterior Predictive_y,Posterior Mode_x,Posterior Mode_y,Exact Data_x,Exact Data_y
1,1E-06,431.703183458394,1E-06,979.302934130693,1E-06,959.761443889035,1E-06,586.743249767535,0.942857142857143,122
2,2E-06,425.057249694809,2E-06,921.987525845211,2E-06,873.844593111,2E-06,567.257872905749,0.114285714285714,244
3,5E-06,414.935675171415,5E-06,850.831524256606,5E-06,776.362912570303,5E-06,541.629788712705,0.271428571428571,214
4,1E-05,407.241376827335,1E-05,799.273771461682,1E-05,712.741361517507,1E-05,522.324036953398,0.6,173
5,2E-05,399.22664788896,2E-05,748.149817217572,2E-05,656.330513693985,2E-05,503.07073071345,0.228571428571429,229
6,5E-05,387.480230673559,5E-05,686.036466170084,5E-05,590.918007739929,5E-05,477.667629387247,0.814285714285714,156
7,0.0001,378.456447592692,0.0001,641.454472945552,0.0001,547.334007215959,0.0001,458.458361458143,0.285714285714286,212
8,0.0002,368.396143251211,0.0002,598.703524312784,0.0002,507.912695695911,0.0002,439.224883489015,0.0571428571428571,263
9,0.0005,355.022676929654,0.0005,545.148571293302,0.0005,461.293185974149,0.0005,413.703142927481,0.871428571428571,146
10,0.001,343.923302619831,0.001,506.245323380372,0.001,429.460673224035,0.001,394.266748513662,0.471428571428571,183
11,0.002,332.385662230698,0.002,468.524718537794,0.002,400.184389391894,0.002,374.654639082678,0.771428571428571,161
12,0.005,315.277173465286,0.005,420.484795019389,0.005,364.536335839622,0.005,348.324794440427,0.314285714285714,205
13,0.01,300.941498575134,0.01,385.784480381892,0.01,339.274081096859,0.01,327.959315257688,0.9,135
14,0.02,285.283486846393,0.02,352.717803568112,0.02,314.93598540995,0.02,307.029063230569,0.0285714285714286,331
15,0.05,261.570444298338,0.05,309.61806090303,0.05,282.936680584198,0.05,278.046839556071,0.242857142857143,225
16,0.1,241.394323096066,0.1,277.546583185702,0.1,257.818550000645,0.1,254.53999960351,0.585714285714286,174
17,0.2,217.480685626762,0.2,245.123212962884,0.2,230.537074067141,0.2,228.651607917769,0.985714285714286,98.8
18,0.3,201.228392651323,0.3,225.117172734576,0.3,212.654367815634,0.3,211.591441201055,0.857142857142857,149
19,0.5,176.17175076545,0.5,196.294886816507,0.5,185.971588550268,0.5,186.065947845582,0.157142857142857,238
20,0.7,153.56756043205,0.7,171.897392406398,0.7,162.511788618645,0.7,163.544167186047,0.0714285714285714,262
21,0.8,140.659490349348,0.8,158.993643260949,0.8,149.720836548195,0.8,151.231663541573,0.914285714285714,132
22,0.9,123.687661105746,0.9,142.936038037307,0.9,133.516615986116,0.9,135.63739795881,0.185714285714286,235
23,0.95,110.396829968897,0.95,131.385466069277,0.95,121.283304822649,0.95,123.948654905651,0.257142857142857,216
24,0.98,96.4309225329534,0.98,120.179059718184,0.98,108.466857937714,0.98,111.963602825785,0.128571428571429,240
25,0.99,87.8323636299592,0.99,113.65413201152,0.99,100.309936565308,0.99,104.608076222254,0.214285714285714,230
26,,,,,,,,,0.4,192
27,,,,,,,,,0.371428571428571,195
28,,,,,,,,,0.642857142857143,172
29,,,,,,,,,0.628571428571429,173
30,,,,,,,,,0.657142857142857,172
31,,,,,,,,,0.842857142857143,153
32,,,,,,,,,0.885714285714286,142
33,,,,,,,,,0.0428571428571429,317
34,,,,,,,,,0.785714285714286,161
35,,,,,,,,,0.357142857142857,201
36,,,,,,,,,0.328571428571429,204
37,,,,,,,,,0.385714285714286,194
38,,,,,,,,,0.742857142857143,164
39,,,,,,,,,0.5,183
40,,,,,,,,,0.757142857142857,161
41,,,,,,,,,0.685714285714286,167
42,,,,,,,,,0.542857142857143,179
43,,,,,,,,,0.442857142857143,185
44,,,,,,,,,0.957142857142857,117
45,,,,,,,,,0.414285714285714,192
46,,,,,,,,,0.0142857142857143,337
47,,,,,,,,,0.928571428571429,125
48,,,,,,,,,0.7,166
49,,,,,,,,,0.971428571428571,99.1
50,,,,,,,,,0.342857142857143,202
51,,,,,,,,,0.2,230
52,,,,,,,,,0.8,158
53,,,,,,,,,0.0857142857142857,262
54,,,,,,,,,0.828571428571429,154
55,,,,,,,,,0.728571428571429,164
56,,,,,,,,,0.514285714285714,182
57,,,,,,,,,0.714285714285714,164
58,,,,,,,,,0.485714285714286,183
59,,,,,,,,,0.671428571428571,171
60,,,,,,,,,0.1,250
61,,,,,,,,,0.457142857142857,184
62,,,,,,,,,0.3,205
63,,,,,,,,,0.171428571428571,237
64,,,,,,,,,0.557142857142857,177
65,,,,,,,,,0.142857142857143,239
66,,,,,,,,,0.428571428571429,187
67,,,,,,,,,0.528571428571429,180
68,,,,,,,,,0.614285714285714,173
69,,,,,,,,,0.571428571428571,174
