mu,sigma,gamma,LogLikelihood
2.301431893071526,0.11599462526850604,-0.325016649605552,-365.2740423222139
2.275342007949042,0.103628232382834,-0.17086946496637076,-361.534456512197
2.276651593792704,0.10761846602781235,-0.1570316841497166,-361.51221024637493
2.2678369425799656,0.11685199206652577,0.0051274010816340365,-361.7915652312382
2.276818286771031,0.106564593300795,-0.15449224935073216,-361.5081937302089
2.270016169564333,0.10833925158703411,-0.10746100215834677,-361.2641859764788
2.264814050357198,0.1065205729054918,-0.049678957116655736,-361.24139095554716
2.293632442630216,0.10842625981549597,-0.22772981809606216,-363.35326078227405
2.264162080358407,0.1137725799999232,0.15076540482233847,-361.77308542035735
2.2696593728947603,0.11862645696798486,0.09741657862270425,-362.0504301107324
2.271273505984945,0.11575320577120916,-0.1059314055194105,-361.7238977249172
2.2655065014987077,0.09540991010609402,0.017549923167455506,-362.10188560385444
2.271750292331337,0.11592452814312162,-0.1039812813189184,-361.7475301570442
2.271437676118285,0.11635104742334677,-0.10135433524870388,-361.7806157405099
2.25399615457149,0.08801189949199072,0.0668571545644967,-364.91297930638194
2.2519064314545765,0.10615722899016918,-0.10933689195001031,-362.1263349075039
2.2543953824344762,0.10762963167793188,-0.10735675932745291,-361.85740042219
2.2548702510985144,0.1082187560380682,-0.10903540185972804,-361.81772934078236
2.258168441288863,0.11016646846200635,-0.11057704008697368,-361.6181380813458
2.257535908591987,0.10424567912137576,-0.10885693139009413,-361.6945346216446
2.278725568255987,0.11211856325949575,-0.10507909355869717,-361.71845336501235
2.257023335054687,0.114926868681805,-0.11840147245878106,-361.93673385050715
2.285014991041671,0.09778646163811247,-0.10075717746174448,-362.60442457985397
2.2651503998481464,0.10192960208688494,-0.11396160227283628,-361.4423871906424
2.264276705732984,0.11554554677369716,-0.10201820249902221,-361.70575957637936
2.2819565144164082,0.10866392502566768,-0.10383652518901361,-361.7875824839403
2.288665589418647,0.1052324760498243,-0.10473023700244709,-362.4586676046053
2.282481923470452,0.10850700890139063,-0.10256218037907582,-361.8244736351196
2.2884167786574183,0.09684901132695563,-0.08267732015435932,-363.1573237297726
2.271108445387881,0.1205792389392938,-0.1226535389473021,-362.2682231605617
2.253612703937956,0.11951532107035277,-0.1916721727016786,-362.57212923129845
2.309418753866511,0.11749313323445236,-0.09323494513042802,-366.1591934112863
2.2627572877519952,0.12405672866875776,-0.19518478874811673,-362.7649368245255
2.252291548671343,0.11707421087303714,-0.1822124604847525,-362.450377719658
2.2620519899235587,0.12408746015288961,-0.19300027111002438,-362.778602639095
2.2795783952868143,0.128766483931788,-0.11029521632543685,-363.80207531335134
2.2608140462636324,0.11525309352271386,-0.22119214315921887,-361.8989686442887
2.2619951112933645,0.11955456242566581,-0.20568648260493144,-362.22854010391427
2.2900999972740443,0.1352082851698812,-0.017438988099635858,-365.530692900698
2.2616323170470234,0.12158001083835912,-0.20494099530774298,-362.4679981267314
2.250797245149957,0.11468325498726646,-0.21823151934371313,-362.4785250729189
2.27201471366968,0.12340130657113654,-0.1631307922962198,-362.7060061382641
2.276211273272899,0.11824712867068954,-0.1780062628763583,-362.2225205272406
2.273748705621652,0.12120318620893104,-0.16752628390067525,-362.46349325854726
2.2734970821334892,0.12056766542418253,-0.1644301551936429,-362.3699692004556
2.256735823498712,0.11611490313911695,-0.22316075929229293,-362.1407252214621
2.2696227047899025,0.11460061294711528,-0.19925982341711784,-361.7170319750319
2.27277973133944,0.10770452054664578,-0.16988923511453768,-361.3979615275403
2.284910455968442,0.11412622804812345,-0.1547631940311114,-362.39113142132123
2.2549364399669094,0.10766571232147057,-0.2043501526522487,-362.0114830502881
2.2751953631033497,0.09507255409243986,-0.18427048406755117,-362.5208517377814
2.2746824598615483,0.09424700011878913,-0.18376156941150118,-362.67120873432464
2.283008693482257,0.11630169106017213,-0.16154097835685832,-362.42442863880217
2.254499623367847,0.10654402688644334,-0.22781593396510863,-362.172488709154
2.25496060188796,0.1077106652148346,-0.22817207560593636,-362.08659776218815
2.257372600707541,0.10701734957980928,0.2496366387015334,-362.20775435793195
2.2560581736926535,0.0913088063144332,0.1297760954120792,-363.78153467590556
2.2719618033341837,0.09645131801709235,-0.02282727271757377,-361.9066394519938
2.281591153458117,0.11275924102398556,-0.3693648206768898,-362.67205504649417
2.269071506039154,0.1096206436694468,-0.23289424267135558,-361.5346393449095
2.274818391591812,0.10961485543394983,-0.2423128307736871,-361.6836247296456
2.275049149836794,0.10488025365286482,0.06048537811674656,-361.39516114431916
2.2689598808219396,0.11730632280071704,-0.2215102084238571,-361.98404578992364
2.2646476758488525,0.11182368201377905,-0.20468452023632366,-361.5705653747137
2.274587043264971,0.11041209499859438,-0.24237589018645705,-361.69997758542104
2.2594785826434243,0.1187336786368489,-0.17885499253321552,-362.1911863228027
2.279976238019555,0.12515158093502862,-0.17689472389778457,-363.33822185007045
2.260132199649104,0.11427347651417606,-0.17931561483851036,-361.793686718625
2.2803364990714727,0.12639161403249577,-0.1754209047108327,-363.5502471246894
2.262389619810065,0.11669567228513829,-0.1705579725888224,-361.8994289619698
2.2697652440613947,0.11214053186811933,-0.1724858942795294,-361.50691247580596
2.2594309281402682,0.10897033392766306,-0.13755010923493388,-361.5520412759356
2.2629230468693646,0.10512395039367302,-0.1543589221723661,-361.4487178975313
2.255189078369993,0.10547774251851429,-0.1203466559516136,-361.8530788929489
2.2563539270747803,0.10484277112862653,-0.12139194670697988,-361.7822134409288
2.2548143764482105,0.10121364491485842,-0.13900863792442134,-362.2298633951319
2.2574587559800454,0.0976919159270664,-0.13634081912745485,-362.4342821203484
2.2742829746898963,0.09154830722472503,0.03292848441595522,-363.0741326836467
2.281510864872496,0.10502193972363165,-0.20010883383958386,-361.9264828352821
2.280852417837142,0.10420281564563026,-0.19781443524295217,-361.89340688659627
2.27814892346855,0.11031157426554415,-0.19510294181632495,-361.74274809965345
2.2793603959271773,0.10663629576882432,-0.19501750870569465,-361.74208786619477
2.2886296169803986,0.10840140686386918,-0.019734390630816924,-362.380122472046
2.280480565821804,0.10747325447745908,-0.19875139522158522,-361.8301020620747
2.2787439829336207,0.11116680779130142,-0.19489679674100724,-361.8154196518657
2.2559623614827373,0.10927148977045381,-0.23962901787239838,-362.0136453564307
2.257943232443368,0.10265177339351512,-0.252523341131263,-362.2862852769453
2.2685834077391855,0.10020594682459824,-0.21379138425544933,-361.8289891280442
2.2735461239266637,0.10040332326498445,-0.17478933882825695,-361.69610526786977
2.3229639748055653,0.12118666860146728,-0.0508717140131311,-369.32454192298616
2.2826273941393356,0.10890938566021985,-0.25733687217591766,-362.1864603812212
2.2739552558936045,0.099863811860474,-0.17862234598459253,-361.77009605814
2.2396240837743933,0.11575078867743498,-0.3319002074934763,-364.1715582823637
2.2619788980967934,0.11616475862383749,-0.33738961764335507,-362.22084230860963
2.2772950976102107,0.09884480189928552,-0.1808829173711459,-362.0150400055365
2.2741461503916485,0.1076270184884319,-0.17581465384748793,-361.44915289332414
2.26212001627889,0.10490339848557474,-0.16081834326441008,-361.5048706662198
