beta_0,beta_1,sigma,gamma,LogLikelihood
1.8876149571099718,-0.00965282288187243,0.6421163443761713,-0.19521279041644526,-506.0167049819455
1.8859464533780206,-0.01090645572868463,0.6425341388082592,-0.19404363225485394,-504.86036240061503
1.8849175101217912,-0.008342994026355322,0.6474549864744755,-0.17937005886843915,-508.67062410887326
2.0495555548789413,-0.014349524279924192,0.6177413720785657,-0.17029075070191016,-505.96470399470024
1.954972489058233,-0.013409791635815786,0.6345551655094452,-0.22051120297850424,-505.69010193408553
1.6740156853543648,-0.008573222998424205,0.652470329536385,-0.18024467369727792,-506.3684900092728
2.153259792370698,-0.013879733343923761,0.6215581060919316,-0.16120423591792113,-507.694211224524
1.935292667524566,-0.011822609832698982,0.6743831262272925,-0.42540699865197373,-506.01755604303514
1.831495879352667,-0.012132356513444704,0.6928595949342,-0.5135811525708727,-507.4967696649789
1.742875858228602,-0.009696632153122588,0.6113306244525754,0.09787949312744336,-505.3761482414855
2.0577298903891834,-0.012759775336672165,0.6138614184005055,-0.012480312810961135,-506.0016784162039
1.8511699995905186,-0.010097950508635491,0.5741905880612136,0.1914181705522822,-505.6275650483027
1.7401845464835135,-0.010213013039494798,0.6797039687052336,-0.23936051088070254,-506.5349270391778
1.913938262287605,-0.012208394644239291,0.6111020569076023,0.03174759098065037,-504.86384445848864
1.892771672546251,-0.010514355613331708,0.6081112247747773,0.039143932286232454,-504.78058808430245
1.7561431448910738,-0.010255870755724048,0.6779358098290847,-0.1988441697350376,-506.2153658654295
1.8028924302130522,-0.00930531339053039,0.5756707930081691,0.1649453351785337,-505.63727445312713
1.8383583316732384,-0.011925674939060386,0.5949198943809246,0.11728220501809739,-506.06793290025286
1.8034073191720352,-0.011550476201917003,0.6098705393335132,0.04802870553925247,-506.12083483765474
1.754118139773184,-0.009718997007659444,0.6825717123716663,-0.2166198950541106,-506.11645009620526
1.761287843577383,-0.0094436876502734,0.6322418046284339,-0.062017183038693365,-505.03390722993896
1.7630062135553919,-0.01073362156442582,0.6258548338998402,-0.03727649303810802,-505.9061478101135
1.7825937785081976,-0.010853313036386935,0.6222159875906269,-0.009089341028409678,-505.563539461828
1.8085733702804223,-0.009210698143128155,0.6034849155481734,0.07238309198207847,-505.0336508596617
1.776097106895844,-0.010686716607867998,0.6287666083525058,-0.03672664879973427,-505.5265756042014
1.8017869401735624,-0.008815898266471776,0.6031174170779225,0.06017439713465014,-505.3534547414786
1.6739161557318614,-0.011122824013832104,0.6712967800191852,-0.22584510394272247,-510.2775168750288
1.7896395754504868,-0.009635969663413665,0.6128749702283924,0.02788979001088768,-504.7512377494274
1.7975494781940524,-0.008330620245192577,0.605921653265167,0.05054144836599732,-505.92678882523813
1.7033997311753013,-0.008224681828161606,0.6544957195714974,-0.15950146091923506,-506.00598343922235
1.8029991303687205,-0.011141112219108266,0.5998667334228082,0.0666859339751169,-505.6056668291823
1.799413239652962,-0.009067272102526315,0.583998964617327,0.08028819741899253,-505.39207746175015
1.8006396985415003,-0.00935005993939643,0.5968451989654284,0.07062070308639501,-504.9598139369137
1.8044427353915222,-0.009967675755003092,0.6131555672284504,0.056684756942141035,-504.68869648569745
1.7961707298260512,-0.007201634528579031,0.5854403136956214,0.08303154274877382,-508.9810815656885
1.877725045758043,-0.013084302777047415,0.6191545005611662,0.00314812792962564,-506.7830085049885
1.8982753644161023,-0.01119887844897522,0.6319994537337927,-0.01735395669273887,-504.60008201353224
1.892384082749925,-0.011299444931630053,0.6300667743355967,-0.01119961149240731,-504.57943767140245
1.9103309306017022,-0.012039165695947688,0.6098285805041862,-0.007258788045209201,-504.7330298654743
1.8883708650958502,-0.01026924699746812,0.617097280673097,-0.005590274289626959,-504.87954223389744
1.856259322714065,-0.010830570267372056,0.6288889601912117,0.03592726680904572,-504.6013202608148
1.8744214293109935,-0.010768292492235385,0.6197613800871836,0.027777613371015485,-504.5309481430766
1.913687894971693,-0.012003051885154749,0.6346697311045316,-0.026208570827687978,-504.77695073915953
1.8808002760112397,-0.01042964234372249,0.65262674998807,0.04573137783757421,-505.04271277842304
1.8559155253307114,-0.010187720404124068,0.6454792911697059,0.004687591442696933,-504.87013113690165
1.7150399933344673,-0.008335784424225478,0.5999766703232867,0.41617110121371487,-506.7632254840222
1.8722806021001903,-0.013340466988302557,0.6310648489602156,-0.14589604506990558,-507.4452313317312
1.8515145709439607,-0.010498405943844389,0.6315710669015213,-0.012677396294215292,-504.59779445208363
1.8051851998760609,-0.010628383628902194,0.6222779255464882,0.1473854753563024,-505.10811465947114
1.8014938489862617,-0.009451471204763069,0.617749639384374,0.10471500678266132,-504.8341441373979
1.942894223122984,-0.014835275528855107,0.6776928735234387,-0.28600302667688904,-508.9255824901387
1.7512805071122155,-0.010970005162171,0.5879642150098411,-0.12059193705455117,-507.33459297650427
2.034614713265693,-0.013787954161228478,0.6774215641138205,-0.4128558096346928,-506.6509791864186
1.9381116195642534,-0.013333609887345757,0.6597677249699179,-0.12281938636534653,-506.02908122731577
1.824526096559599,-0.010656621273594631,0.6402554749716763,0.2189517420797241,-505.20915095409634
2.0455266955759437,-0.011696677564365645,0.7952722298607036,0.08092790798948574,-511.7672172207802
1.872160506505475,-0.012560801812287772,0.5617414766615813,-0.09615289124932257,-507.25489449171533
1.9520662971339144,-0.010366121365742222,0.6711625296664663,-0.3050231168463192,-507.3616695951601
1.891254539394735,-0.012036840023113001,0.5713196211532654,-0.16481192990442375,-505.7653539646603
1.8984494864555743,-0.011171689908630194,0.5763826353160925,-0.19642557586304576,-505.1972610954439
1.9149660235962542,-0.011580907474674688,0.6293810219910672,0.16271691652684458,-504.883159387122
1.9550645014960915,-0.013959536372271656,0.6522398355171835,0.24777421103125585,-507.54383464832944
1.9075323046857284,-0.01187174179497647,0.6167943300684969,0.1963892851370016,-505.08321702069344
1.9094386676418278,-0.013138607627207272,0.6151091819376859,0.2285810113306489,-506.7368092997332
1.9473358185324825,-0.01113144345925595,0.6074800039759,0.10645732035361531,-505.23155927364854
1.9311209149780606,-0.012860305605295497,0.6608597832838256,-0.2056293452417689,-505.62424737581244
1.82041167560703,-0.008731526588891434,0.6176302485539054,0.10197695978344352,-505.6723591937994
1.8837804011979167,-0.010849690314273453,0.6165581145941413,0.15225442027357938,-504.73915682457675
2.0814657488201656,-0.01227071951495297,0.6401829309795997,0.059328142345143754,-507.3521369184419
2.080611562106598,-0.014422124425172276,0.662602219541112,-0.08759395612422415,-506.4723494327233
1.96093525271292,-0.01336566674064885,0.6614203817411117,-0.19776925398209444,-505.83096474904085
1.987364943092843,-0.01177728152377962,0.6579703986638962,-0.13689179609724741,-505.7352114111328
1.973471586400199,-0.012171688993888145,0.65518712684258,-0.12718815549769963,-505.2703615329989
2.0296508236906377,-0.01747703340431046,0.6588340911632257,-0.3732154728317153,-514.8734121504716
2.0037120812792346,-0.014266107729887173,0.6520618782007319,-0.01326419860084209,-506.4210134142671
1.969952757556288,-0.012219469902826963,0.6516401026194707,-0.14255352551569883,-505.17419977187325
1.951398248732443,-0.012864335312555625,0.6436377260169478,0.05806029937352357,-505.34884921053964
2.052595708618031,-0.01355178040272043,0.638069485057069,0.004478688739058295,-505.7203835716009
1.775604284344806,-0.008402807592215584,0.6666407073671129,0.2257107736353055,-506.0473674796248
1.8610441065922205,-0.010384815304521842,0.6519990778284279,0.40264565836538807,-505.837467854035
1.6554746152684343,-0.008279959284920852,0.7002132759279492,-0.3144867654670981,-507.6335373224891
1.8000713371385553,-0.009697344223089387,0.671284097992552,-0.08166789327581071,-505.48428527710973
1.8126274738149557,-0.009833599886620957,0.6686233516719051,-0.059798944465222874,-505.36823341431483
1.9609455206405186,-0.009272967725996213,0.6408996262195755,0.17653760811113098,-508.9743123174434
1.8683074673933011,-0.009597012845205219,0.6603481585275544,0.05699058731614056,-505.70035598042693
2.1161013772209816,-0.012716440378848289,0.6388680837836528,0.4059928651369111,-510.0142172231343
2.03734102433701,-0.01253025319540125,0.639834285133853,0.19232493850044535,-506.1473142298472
1.9239101063969926,-0.009782691559879713,0.6325645518345159,-0.28897196244788126,-506.923152827948
1.9246874431193404,-0.012070167233462666,0.6567129852313482,0.2103427249662415,-505.5036899844712
2.0546133877055563,-0.013190194640673185,0.6533881703738991,0.43865009022461365,-507.82342302673413
1.9113737380868108,-0.01173215603611687,0.6422928354562182,-0.1924914164981034,-504.8468963563041
1.9515770978897675,-0.01247528507801894,0.6739988751953145,0.2098431578067735,-505.9916836788013
1.9341939291571195,-0.01021608835749659,0.6168685714187939,-0.43449913452119077,-507.069375088215
1.8821727665513746,-0.01138548273765461,0.6539388559327958,-0.11038153495512094,-504.9415405358426
1.8939783537900774,-0.011471034057756428,0.6437249940750321,-0.18511783999739667,-504.82935162038405
2.013253532693339,-0.013084374229076446,0.6399375944400537,0.14792973400944953,-505.6147295791298
1.9536678029604622,-0.010755995438788508,0.6673965891848894,0.12742584208898994,-506.10756782094205
1.9553013373738433,-0.012434871250096789,0.6274210430319814,-0.270793362342947,-505.0408347085088
2.0217632647202755,-0.011749612941249946,0.6426869454932693,0.185299178797771,-506.42409353781505
1.9185279116470748,-0.01197367175190305,0.6560012390354519,-0.159713528834908,-505.073185989895
