mu,sigma,gamma,LogLikelihood
1.3368697656709827,0.7273652492887045,0.2657590110012639,-518.2857460334174
1.3651081280348452,0.750292918515197,0.2520467442143516,-518.777314552886
1.407600555042367,0.7676109051522462,0.02519744318163921,-520.0718827974562
1.28583059458602,0.67710040428859,0.21608283387916988,-518.1651671238935
1.34006113622187,0.7277908997249654,0.24437136787743366,-518.3018273371458
1.3693026582929282,0.763594694183316,0.37456349510678155,-519.0430698327824
1.33768074907305,0.7332025075526908,0.31691980399224723,-518.379069078131
1.2727143235946667,0.6547921640895188,0.15006481599504656,-518.5446773684621
1.3129696119233825,0.7103741005190392,0.2711090477110347,-518.0986325418106
1.384862585888791,0.7980130457487302,0.45505945101637263,-519.8651460089428
1.3548701352080716,0.6882683279578824,0.20410958042762956,-518.4261747305812
1.2868780957822277,0.6864487308036774,0.21072314717548407,-518.0835607502278
1.2319892991148595,0.6459610935883003,0.05602620174389788,-519.3323541533268
1.4102560779393785,0.6839871402669665,0.14465875660447394,-519.5205477699087
1.324459760109035,0.7457402019491451,0.5296035096035298,-518.9541118638251
1.3156675134567377,0.7156329459767504,0.2268854583386905,-518.0967104540813
1.3107406516605467,0.7249146764158677,0.23570479497544827,-518.1589900402535
1.3108616316927326,0.7246322534487517,0.2316313775990303,-518.1555381435445
1.274207982859346,0.7763630084621689,0.18444501149124903,-519.2455092317468
1.3077700334406608,0.7278573622016039,0.23221285749757467,-518.185412341975
1.2743497997542537,0.678878485778176,0.3003169132255165,-518.3080151263184
1.3093422407531712,0.6724926026132763,0.25339708711539904,-518.2912979301424
1.224573024030144,0.7210151598472708,0.23330990653944986,-518.795561441601
1.2617796637541359,0.7169262939283708,0.18464080582251344,-518.2715797524829
1.3674461483102671,0.7410583589341397,0.14180590484978559,-518.7568570596552
1.366674391836778,0.7054540486004666,0.05477711970272083,-518.5976908015405
1.4073516504119818,0.7272581191633484,-0.044345228945381926,-519.6609926107554
1.36657126324148,0.7054873580417872,0.05581597972911141,-518.5945889922214
1.3650447492789428,0.7036952488306067,0.05859462803509357,-518.5674684744242
1.2306777067057693,0.7210999812227966,0.07277070292081882,-518.7312895182168
1.2987011063815415,0.7206461950181563,0.04187995797824338,-518.2523986283695
1.4347588303794647,0.7665871440438681,-0.13139580561335368,-521.1864417512562
1.2661381325919463,0.6788375418102157,0.17487106845346992,-518.2263866266603
1.3236992673577752,0.742149921007667,-0.00735840048064728,-518.66815204009
1.2784527553794638,0.6995369144209508,0.11439066837566046,-518.1059346371687
1.2050156155472243,0.7560865545354317,-0.14261272950592918,-519.9179788754001
1.3243037191101765,0.6818236219348842,0.26317071691606153,-518.2652521429827
1.3205472354271803,0.6985867989309622,0.21157935753525972,-518.0752182229259
1.1570230672907196,0.7280579484974233,-0.054606276675153484,-520.5547352695366
1.3189507500578912,0.7000146843205857,0.21256346596772266,-518.066734759983
1.2555126153985914,0.6959023112012561,0.1420844502099063,-518.2540381089924
1.330301855430314,0.693920534830513,0.2703225734269029,-518.2112066997785
1.3372442506919617,0.6769862760537382,0.28774474993444776,-518.5056660500579
1.335512269841233,0.6719774707665974,0.29145627330645363,-518.5887456486666
1.3369045098272707,0.6707042782501662,0.29713495485894253,-518.6485115373271
1.401209251566152,0.8335638805681519,0.4746778650775173,-520.89205222124
1.4578940911708123,0.685646991536039,0.5489342300337157,-524.3859537678035
1.261556093955127,0.6593732930382569,0.17091576602127,-518.5235154773648
