beta_0,beta_1,sigma,gamma,LogLikelihood
1.8548656917589217,-0.0067332356013816335,0.6711052754188404,0.17143518980183292,-506.09257603163024
1.8537301403888515,-0.007971064687738548,0.6737625174787581,0.1740978844901122,-506.2589746358144
1.8614411456113547,-0.006286236465278413,0.6524637358218272,0.13844441844128047,-506.217861613088
2.0529391598930435,-0.007899981882944246,0.6620160086187378,0.19356609224424556,-506.6700648973216
1.889489183767062,-0.008533755888319026,0.6617018047507834,0.15992029229616309,-506.06866998253156
2.2176247510055167,-0.011718271336176074,0.6122139803599078,0.10907810934229456,-508.06099924301344
1.8144823637154004,-0.007506002184743368,0.6706299783844992,0.16255714180998573,-506.2435746759896
2.1085550541921174,-0.01031812448265998,0.6257527193078379,0.13205251674516374,-506.31706039287235
1.9528760632485502,-0.007477489602917353,0.6483001330398184,0.1449963270389262,-505.6546346515691
1.8432658970821851,-0.0067226030764152775,0.6657378177919471,0.15772413141096875,-505.95907248945787
2.074225449447919,-0.010071751531823936,0.6178270251058768,0.08781489809881225,-505.92999003174316
1.9207894025820047,-0.007382311912689597,0.6582476452614779,0.14488743145011854,-505.65934983416656
1.9041967231318144,-0.00768107025098207,0.66060623308957,0.14678574853848114,-505.5817050705807
2.049145239940829,-0.009707155179200578,0.6230572639119061,0.10007779867825628,-505.67944885598484
2.0735665596934014,-0.009532257755307274,0.6156764830034119,0.08789731672586418,-505.6328550748142
1.918165410570851,-0.008405296737367136,0.6621814752604976,0.1350331262647836,-505.73293961856297
2.016720024141966,-0.008472012566973474,0.5767995884473605,0.05818254180009438,-505.8241065566374
1.6598585794703915,-0.005205752926310079,0.6643518175952831,0.1977817284097892,-507.386594509394
1.7490862837563848,-0.006138602547934782,0.6396480594710966,0.17493537381290614,-506.06882597816934
1.8611390150601177,-0.00811806030284433,0.645486582794607,0.1250592028272279,-505.6463806270397
1.92362437765866,-0.007102682848298035,0.6206754132055516,0.08172200675764962,-505.52408531572536
2.0242004603086654,-0.010970285449986095,0.6216532231306282,0.0560507543216406,-507.35475320186123
2.0185229956598594,-0.010858623883258972,0.6202323712868092,0.060354561114017054,-507.2301065902968
1.920892243003174,-0.007053947957964289,0.6214672947853104,0.08958786767667509,-505.5629846627529
2.0153405635215105,-0.00980848893513339,0.6219219036121993,0.060485195221533686,-505.7357038662785
1.8707075395140689,-0.007272219184295944,0.6468666394457233,0.0852668087504495,-505.3604716403071
1.9528601902850349,-0.007610604874688394,0.686704015417289,0.029014891651136895,-506.3114461898149
2.0118657377734404,-0.010800131067461503,0.6913754091220184,0.02433036979970557,-508.0202661214807
1.8869103461351178,-0.006707122457370981,0.6530678883023312,0.07003096955777391,-505.88673925268904
1.7337845936670202,-0.006516892965940239,0.6150012005356736,0.1549453833460488,-506.0867948897913
1.8252125641169694,-0.008788811084816077,0.6048745566501458,0.1289468665607654,-506.8704141061966
1.8156641098322863,-0.005296085312844762,0.5996382495137842,0.1367355124404295,-507.8834176041765
1.9505650470983709,-0.009476059369850734,0.6556758981796618,0.06822972698364467,-506.15033749773954
1.9437573378346198,-0.008318176027981943,0.6564194552541863,0.06763784040897611,-505.4128091344381
1.9262419514609694,-0.006072136439191744,0.6470529762141444,0.08362182455473813,-507.5161411945128
1.954575327398325,-0.008573147376781014,0.6655725655490142,0.07382993727177377,-505.6594866987636
2.0295996903594373,-0.009459570361531604,0.7028638626448883,0.03435474311911567,-506.9520220738339
1.9948268663514517,-0.010669063334012676,0.6839640977913632,0.027562870681179342,-507.81957667017156
1.7661445611064002,-0.006883031291109126,0.5582124133488264,0.15535041640848676,-507.08036399347566
1.899913822426956,-0.007701737015224525,0.6371556373939883,0.08575296856650291,-505.1546278473225
2.005221412458424,-0.008492788617170961,0.6950994042588701,0.046817708173774564,-506.4941892396242
1.9377441468813705,-0.008432865133238796,0.6527761844069119,0.05507480557610098,-505.37155598577186
1.8848087052891738,-0.007609426682929051,0.6205823180243603,0.18391394708463604,-505.2761326540893
1.9368315854844032,-0.007220747243135225,0.6550020261744581,0.05530495498345976,-505.77640542564336
1.9535734407616063,-0.006794480201261078,0.6597918874869038,0.06191485783367626,-506.6218828508956
1.9633472531649403,-0.009662762985131794,0.6468052702449151,0.2319844281843803,-506.6221291631882
